Date,Time,Home College,Away College,Sport,Location,Room
1/22/2026,8:45 PM,ES,GH,Broomball,Ingalls Rink,
1/22/2026,8:45 PM,BR,BF,Broomball,Ingalls Rink,
1/22/2026,9:15 PM,JE,BK,Broomball,Ingalls Rink,
1/22/2026,9:15 PM,MC,PC,Broomball,Ingalls Rink,
1/25/2026,5:00 PM,ES,SM,Broomball,Ingalls Rink,
1/25/2026,5:00 PM,DC,SY,Broomball,Ingalls Rink,
1/25/2026,6:00 PM,TC,TD,Broomball,Ingalls Rink,
1/25/2026,6:00 PM,MC,MY,Broomball,Ingalls Rink,
1/25/2026,7:00 PM,BR,JE,Broomball,Ingalls Rink,
1/25/2026,7:00 PM,BF,BK,Broomball,Ingalls Rink,
1/26/2026,7:00 PM,TC,GH,Broomball,Ingalls Rink,
1/26/2026,7:00 PM,SY,SM,Broomball,Ingalls Rink,
1/29/2026,8:45 PM,BF,PC,Broomball,Ingalls Rink,
1/29/2026,8:45 PM,JE,MY,Broomball,Ingalls Rink,
1/29/2026,9:15 PM,DC,TD,Broomball,Ingalls Rink,
1/29/2026,9:15 PM,SY,GH,Broomball,Ingalls Rink,
2/1/2026,5:00 PM,TD,SM,Broomball,Ingalls Rink,
2/1/2026,5:00 PM,DC,GH,Broomball,Ingalls Rink,
2/1/2026,6:00 PM,TC,ES,Broomball,Ingalls Rink,
2/1/2026,6:00 PM,BR,MC,Broomball,Ingalls Rink,
2/1/2026,7:00 PM,BF,MY,Broomball,Ingalls Rink,
2/1/2026,7:00 PM,JE,PC,Broomball,Ingalls Rink,
2/2/2026,7:00 PM,BF,MC,Broomball,Ingalls Rink,
2/2/2026,7:00 PM,BR,BK,Broomball,Ingalls Rink,
2/5/2026,7:00 PM,JE,MC,Broomball,Ingalls Rink,
2/5/2026,7:00 PM,BK,PC,Broomball,Ingalls Rink,
2/5/2026,8:00 PM,BR,MY,Broomball,Ingalls Rink,
2/5/2026,8:00 PM,SY,ES,Broomball,Ingalls Rink,
2/5/2026,9:00 PM,TD,GH,Broomball,Ingalls Rink,
2/5/2026,9:00 PM,DC,SM,Broomball,Ingalls Rink,
2/9/2026,7:00 PM,DC,ES,Broomball,Ingalls Rink,
2/9/2026,7:00 PM,TC,SM,Broomball,Ingalls Rink,
2/12/2026,8:45 PM,TC,SY,Broomball,Ingalls Rink,
2/12/2026,8:45 PM,TD,ES,Broomball,Ingalls Rink,
2/12/2026,9:15 PM,BK,MY,Broomball,Ingalls Rink,
2/12/2026,9:15 PM,BR,PC,Broomball,Ingalls Rink,
2/15/2026,5:00 PM,BF,JE,Broomball,Ingalls Rink,
2/15/2026,5:00 PM,BK,MC,Broomball,Ingalls Rink,
2/15/2026,6:00 PM,PC,MY,Broomball,Ingalls Rink,
2/15/2026,6:00 PM,GH,SM,Broomball,Ingalls Rink,
2/15/2026,7:00 PM,DC,TC,Broomball,Ingalls Rink,
2/15/2026,7:00 PM,SY,TD,Broomball,Ingalls Rink,
