Date,Time,Home College,Away College,Sport,Location,Room
1/12/2026,8:00 PM,ES,DC,CHoops,Lanman Center,Court 1
1/12/2026,8:00 PM,SY,MC,CHoops,Lanman Center,Court 2
1/12/2026,9:00 PM,TC,SM,CHoops,Lanman Center,Court 1
1/12/2026,9:00 PM,BK,JE,CHoops,Lanman Center,Court 2
1/12/2026,10:00 PM,GH,PC,CHoops,Lanman Center,Court 1
1/12/2026,10:00 PM,BF,BR,CHoops,Lanman Center,Court 2
1/13/2026,10:00 PM,BF,TD,CHoops,Lanman Center,Court 1
1/13/2026,10:00 PM,BK,GH,CHoops,Lanman Center,Court 2
1/13/2026,10:00 PM,JE,PC,CHoops,Lanman Center,Court 3
1/14/2026,9:00 PM,TC,MY,CHoops,Lanman Center,Court 2
1/14/2026,10:00 PM,ES,SY,CHoops,Lanman Center,Court 1
1/14/2026,10:00 PM,DC,MC,CHoops,Lanman Center,Court 2
1/21/2026,8:00 PM,DC,SM,CHoops,Lanman Center,Court 1
1/21/2026,8:00 PM,SY,MY,CHoops,Lanman Center,Court 2
1/21/2026,9:00 PM,ES,MC,CHoops,Lanman Center,Court 1
1/22/2026,8:00 PM,JE,BR,CHoops,Lanman Center,Court 1
1/22/2026,8:00 PM,GH,TD,CHoops,Lanman Center,Court 2
1/22/2026,8:00 PM,BK,PC,CHoops,Lanman Center,Court 3
1/27/2026,9:00 PM,ES,TC,CHoops,Lanman Center,Court 1
1/27/2026,9:00 PM,DC,MY,CHoops,Lanman Center,Court 2
1/27/2026,9:00 PM,SY,SM,CHoops,Lanman Center,Court 3
1/27/2026,10:00 PM,BK,BF,CHoops,Lanman Center,Court 1
1/27/2026,10:00 PM,JE,TD,CHoops,Lanman Center,Court 2
1/27/2026,10:00 PM,GH,BR,CHoops,Lanman Center,Court 3
1/29/2026,9:00 PM,PC,TD,CHoops,Lanman Center,Court 1
1/29/2026,9:00 PM,BK,BR,CHoops,Lanman Center,Court 2
1/29/2026,9:00 PM,JE,BF,CHoops,Lanman Center,Court 3
1/29/2026,10:00 PM,MC,MY,CHoops,Lanman Center,Court 1
1/29/2026,10:00 PM,ES,SM,CHoops,Lanman Center,Court 2
1/29/2026,10:00 PM,DC,TC,CHoops,Lanman Center,Court 3
2/3/2026,8:00 PM,SY,TC,CHoops,Lanman Center,Court 1
2/3/2026,8:00 PM,MC,SM,CHoops,Lanman Center,Court 2
2/3/2026,8:00 PM,ES,MY,CHoops,Lanman Center,Court 3
2/4/2026,9:00 PM,GH,BF,CHoops,Lanman Center,Court 2
2/4/2026,10:00 PM,PC,BR,CHoops,Lanman Center,Court 1
2/4/2026,10:00 PM,BK,TD,CHoops,Lanman Center,Court 2
2/9/2026,8:00 PM,DC,SY,CHoops,Lanman Center,Court 1
2/9/2026,8:00 PM,MC,TC,CHoops,Lanman Center,Court 2
2/9/2026,9:00 PM,SM,MY,CHoops,Lanman Center,Court 1
2/9/2026,9:00 PM,JE,GH,CHoops,Lanman Center,Court 2
2/9/2026,10:00 PM,PC,BF,CHoops,Lanman Center,Court 1
2/9/2026,10:00 PM,BR,TD,CHoops,Lanman Center,Court 2
