Date,Time,Home College,Away College,Sport,Location,Room
1/12/2026,8:00 PM,GH,BK,Dodgeball,Lanman Center,Room K
1/12/2026,9:00 PM,ES,PC,Dodgeball,Lanman Center,Room K
1/12/2026,10:00 PM,MC,BR,Dodgeball,Lanman Center,Room K
1/13/2026,8:00 PM,JE,DC,Dodgeball,Lanman Center,Room K
1/13/2026,9:00 PM,TC,BF,Dodgeball,Lanman Center,Room K
1/13/2026,10:00 PM,SY,SM,Dodgeball,Lanman Center,Room K
1/14/2026,8:00 PM,BK,BR,Dodgeball,Lanman Center,Room K
1/14/2026,9:00 PM,ES,MY,Dodgeball,Lanman Center,Room K
1/14/2026,10:00 PM,GH,PC,Dodgeball,Lanman Center,Room K
1/15/2026,8:00 PM,SY,TD,Dodgeball,Lanman Center,Room K
1/15/2026,9:00 PM,JE,TC,Dodgeball,Lanman Center,Room K
1/15/2026,10:00 PM,DC,BF,Dodgeball,Lanman Center,Room K
1/20/2026,8:00 PM,DC,SM,Dodgeball,Lanman Center,Room K
1/20/2026,9:00 PM,TC,TD,Dodgeball,Lanman Center,Room K
1/20/2026,10:00 PM,JE,BF,Dodgeball,Lanman Center,Room K
1/21/2026,8:00 PM,GH,MC,Dodgeball,Lanman Center,Room K
1/21/2026,9:00 PM,BK,MY,Dodgeball,Lanman Center,Room K
1/21/2026,10:00 PM,ES,BR,Dodgeball,Lanman Center,Room K
1/22/2026,8:00 PM,JE,SY,Dodgeball,Lanman Center,Room K
1/22/2026,9:00 PM,DC,TD,Dodgeball,Lanman Center,Room K
1/22/2026,10:00 PM,TC,SM,Dodgeball,Lanman Center,Room K
1/26/2026,8:00 PM,PC,MY,Dodgeball,Lanman Center,Room K
1/26/2026,9:00 PM,GH,BR,Dodgeball,Lanman Center,Room K
1/26/2026,10:00 PM,BK,MC,Dodgeball,Lanman Center,Room K
1/27/2026,8:00 PM,BF,TD,Dodgeball,Lanman Center,Room K
1/27/2026,9:00 PM,JE,SM,Dodgeball,Lanman Center,Room K
1/27/2026,10:00 PM,DC,SY,Dodgeball,Lanman Center,Room K
1/28/2026,8:00 PM,ES,MC,Dodgeball,Lanman Center,Room K
1/28/2026,9:00 PM,PC,BR,Dodgeball,Lanman Center,Room K
1/28/2026,10:00 PM,GH,MY,Dodgeball,Lanman Center,Room K
1/29/2026,8:00 PM,TC,SY,Dodgeball,Lanman Center,Room K
1/29/2026,9:00 PM,BF,SM,Dodgeball,Lanman Center,Room K
1/29/2026,10:00 PM,JE,TD,Dodgeball,Lanman Center,Room K
2/2/2026,8:00 PM,BK,ES,Dodgeball,Lanman Center,Room K
2/2/2026,9:00 PM,PC,MC,Dodgeball,Lanman Center,Room K
2/2/2026,10:00 PM,BR,MY,Dodgeball,Lanman Center,Room K
2/3/2026,8:00 PM,DC,TC,Dodgeball,Lanman Center,Room K
2/3/2026,9:00 PM,BF,SY,Dodgeball,Lanman Center,Room K
2/3/2026,10:00 PM,SM,TD,Dodgeball,Lanman Center,Room K
2/4/2026,8:00 PM,MC,MY,Dodgeball,Lanman Center,Room K
2/4/2026,9:00 PM,GH,ES,Dodgeball,Lanman Center,Room K
2/4/2026,10:00 PM,BK,PC,Dodgeball,Lanman Center,Room K
