Date,Time,Home College,Away College,Sport,Location,Room
3/23/2026,8:00 PM,MY,BF,Indoor Soccer,Lanman Center,Court 1
3/23/2026,8:00 PM,SM,GH,Indoor Soccer,Lanman Center,Court 2
3/23/2026,9:00 PM,DC,TC,Indoor Soccer,Lanman Center,Court 1
3/23/2026,9:00 PM,ES,SY,Indoor Soccer,Lanman Center,Court 2
3/23/2026,10:00 PM,TD,MC,Indoor Soccer,Lanman Center,Court 1
3/23/2026,10:00 PM,JE,BR,Indoor Soccer,Lanman Center,Court 2
3/24/2026,8:00 PM,JE,BK,Indoor Soccer,Lanman Center,Court 1
3/24/2026,8:00 PM,SY,MC,Indoor Soccer,Lanman Center,Court 2
3/24/2026,8:00 PM,SM,PC,Indoor Soccer,Lanman Center,Court 3
3/24/2026,9:00 PM,MY,DC,Indoor Soccer,Lanman Center,Court 1
3/24/2026,9:00 PM,BF,TC,Indoor Soccer,Lanman Center,Court 2
3/24/2026,10:00 PM,ES,TD,Indoor Soccer,Lanman Center,Court 1
3/25/2026,8:00 PM,BF,GH,Indoor Soccer,Lanman Center,Court 1
3/25/2026,9:00 PM,DC,PC,Indoor Soccer,Lanman Center,Court 1
3/25/2026,9:00 PM,MY,TC,Indoor Soccer,Lanman Center,Court 2
3/26/2026,8:00 PM,SY,BR,Indoor Soccer,Lanman Center,Court 1
3/26/2026,8:00 PM,TD,BK,Indoor Soccer,Lanman Center,Court 2
3/26/2026,8:00 PM,ES,MC,Indoor Soccer,Lanman Center,Court 1
3/30/2026,8:00 PM,ES,JE,Indoor Soccer,Lanman Center,Court 1
3/30/2026,9:00 PM,SY,BK,Indoor Soccer,Lanman Center,Court 1
3/30/2026,9:00 PM,TD,BR,Indoor Soccer,Lanman Center,Court 2
3/31/2026,8:00 PM,MY,SM,Indoor Soccer,Lanman Center,Court 1
3/31/2026,8:00 PM,BF,PC,Indoor Soccer,Lanman Center,Court 2
3/31/2026,9:00 PM,DC,GH,Indoor Soccer,Lanman Center,Court 1
4/1/2026,8:00 PM,MC,BK,Indoor Soccer,Lanman Center,Court 1
4/1/2026,9:00 PM,SY,JE,Indoor Soccer,Lanman Center,Court 1
4/1/2026,10:00 PM,ES,BR,Indoor Soccer,Lanman Center,Court 1
4/2/2026,8:00 PM,BF,DC,Indoor Soccer,Lanman Center,Court 1
4/2/2026,8:00 PM,TC,SM,Indoor Soccer,Lanman Center,Court 2
4/2/2026,9:00 PM,GH,PC,Indoor Soccer,Lanman Center,Court 1
4/6/2026,8:00 PM,MY,PC,Indoor Soccer,Lanman Center,Court 1
4/6/2026,8:00 PM,DC,SM,Indoor Soccer,Lanman Center,Court 2
4/6/2026,9:00 PM,TC,GH,Indoor Soccer,Lanman Center,Court 1
4/7/2026,8:00 PM,MC,BR,Indoor Soccer,Lanman Center,Court 1
4/7/2026,8:00 PM,ES,BK,Indoor Soccer,Lanman Center,Court 2
4/7/2026,9:00 PM,TD,JE,Indoor Soccer,Lanman Center,Court 3
4/8/2026,8:00 PM,TC,PC,Indoor Soccer,Lanman Center,Court 1
4/8/2026,9:00 PM,BF,SM,Indoor Soccer,Lanman Center,Court 1
4/8/2026,10:00 PM,MY,GH,Indoor Soccer,Lanman Center,Court 1
4/9/2026,8:00 PM,SY,TD,Indoor Soccer,Lanman Center,Court 1
4/9/2026,8:00 PM,BR,BK,Indoor Soccer,Lanman Center,Court 2
4/9/2026,9:00 PM,MC,JE,Indoor Soccer,Lanman Center,Court 3
