Date,Time,Home College,Away College,Sport,Location,Room
1/14/2026,8:00 PM,PC,JE,MHoops,Lanman Center,Court 1
1/14/2026,8:00 PM,SM,ES,MHoops,Lanman Center,Court 2
1/14/2026,9:00 PM,MC,GH,MHoops,Lanman Center,Court 1
1/15/2026,8:00 PM,SY,BK,MHoops,Lanman Center,Court 1
1/15/2026,8:00 PM,TD,DC,MHoops,Lanman Center,Court 3
1/20/2026,9:00 PM,MC,BF,MHoops,Lanman Center,Court 1
1/20/2026,9:00 PM,PC,SM,MHoops,Lanman Center,Court 2
1/20/2026,9:00 PM,JE,ES,MHoops,Lanman Center,Court 3
1/20/2026,10:00 PM,TC,MY,MHoops,Lanman Center,Court 1
1/20/2026,10:00 PM,SY,TD,MHoops,Lanman Center,Court 2
1/20/2026,10:00 PM,BK,DC,MHoops,Lanman Center,Court 3
1/22/2026,9:00 PM,BK,BR,MHoops,Lanman Center,Court 1
1/22/2026,9:00 PM,TD,MY,MHoops,Lanman Center,Court 2
1/22/2026,9:00 PM,SY,DC,MHoops,Lanman Center,Court 3
1/22/2026,10:00 PM,JE,GH,MHoops,Lanman Center,Court 1
1/22/2026,10:00 PM,SM,BF,MHoops,Lanman Center,Court 2
1/22/2026,10:00 PM,PC,ES,MHoops,Lanman Center,Court 3
1/27/2026,8:00 PM,PC,MC,MHoops,Lanman Center,Court 1
1/27/2026,8:00 PM,JE,BF,MHoops,Lanman Center,Court 2
1/27/2026,8:00 PM,SM,GH,MHoops,Lanman Center,Court 3
1/28/2026,9:00 PM,SY,TC,MHoops,Lanman Center,Court 2
1/28/2026,10:00 PM,BK,MY,MHoops,Lanman Center,Court 1
1/28/2026,10:00 PM,TD,BR,MHoops,Lanman Center,Court 2
2/2/2026,8:00 PM,DC,MY,MHoops,Lanman Center,Court 1
2/2/2026,8:00 PM,SY,BR,MHoops,Lanman Center,Court 2
2/2/2026,9:00 PM,BK,TC,MHoops,Lanman Center,Court 1
2/2/2026,9:00 PM,ES,BF,MHoops,Lanman Center,Court 2
2/2/2026,10:00 PM,PC,GH,MHoops,Lanman Center,Court 1
2/2/2026,10:00 PM,JE,MC,MHoops,Lanman Center,Court 2
2/4/2026,8:00 PM,TD,TC,MHoops,Lanman Center,Court 1
2/4/2026,8:00 PM,DC,BR,MHoops,Lanman Center,Court 2
2/4/2026,9:00 PM,SY,MY,MHoops,Lanman Center,Court 1
2/5/2026,8:00 PM,SM,MC,MHoops,Lanman Center,Court 1
2/5/2026,8:00 PM,ES,GH,MHoops,Lanman Center,Court 2
2/5/2026,8:00 PM,PC,BF,MHoops,Lanman Center,Court 3
2/10/2026,8:00 PM,JE,SM,MHoops,Lanman Center,Court 1
2/10/2026,8:00 PM,ES,MC,MHoops,Lanman Center,Court 2
2/10/2026,8:00 PM,GH,BF,MHoops,Lanman Center,Court 3
2/10/2026,9:00 PM,BK,TD,MHoops,Lanman Center,Court 1
2/10/2026,9:00 PM,DC,TC,MHoops,Lanman Center,Court 2
2/10/2026,9:00 PM,BR,MY,MHoops,Lanman Center,Court 3
