Date,Time,Home College,Away College,Sport,Location,Room
1/13/2026,8:00 PM,BR,MC,WHoops,Lanman Center,Court 1
1/13/2026,8:00 PM,DC,BK,WHoops,Lanman Center,Court 2
1/13/2026,8:00 PM,GH,SY,WHoops,Lanman Center,Court 3
1/13/2026,9:00 PM,TC,ES,WHoops,Lanman Center,Court 1
1/13/2026,9:00 PM,TD,MY,WHoops,Lanman Center,Court 2
1/13/2026,9:00 PM,BF,JE,WHoops,Lanman Center,Court 3
1/15/2026,9:00 PM,GH,SM,WHoops,Lanman Center,Court 1
1/15/2026,9:00 PM,BR,DC,WHoops,Lanman Center,Court 2
1/15/2026,9:00 PM,MC,BK,WHoops,Lanman Center,Court 3
1/15/2026,10:00 PM,BF,PC,WHoops,Lanman Center,Court 1
1/15/2026,10:00 PM,TC,TD,WHoops,Lanman Center,Court 2
1/15/2026,10:00 PM,ES,MY,WHoops,Lanman Center,Court 3
1/20/2026,8:00 PM,ES,JE,WHoops,Lanman Center,Court 1
1/20/2026,8:00 PM,TD,PC,WHoops,Lanman Center,Court 2
1/20/2026,8:00 PM,TC,MY,WHoops,Lanman Center,Court 3
1/21/2026,9:00 PM,MC,SY,WHoops,Lanman Center,Court 2
1/21/2026,10:00 PM,DC,SM,WHoops,Lanman Center,Court 1
1/21/2026,10:00 PM,BR,BK,WHoops,Lanman Center,Court 2
1/26/2026,8:00 PM,BR,GH,WHoops,Lanman Center,Court 1
1/26/2026,8:00 PM,MC,SM,WHoops,Lanman Center,Court 2
1/26/2026,9:00 PM,DC,SY,WHoops,Lanman Center,Court 1
1/26/2026,9:00 PM,TC,BF,WHoops,Lanman Center,Court 2
1/26/2026,10:00 PM,ES,PC,WHoops,Lanman Center,Court 1
1/26/2026,10:00 PM,TD,JE,WHoops,Lanman Center,Court 2
1/28/2026,8:00 PM,BK,SM,WHoops,Lanman Center,Court 1
1/28/2026,8:00 PM,BR,SY,WHoops,Lanman Center,Court 2
1/28/2026,9:00 PM,MC,GH,WHoops,Lanman Center,Court 1
1/29/2026,8:00 PM,MY,PC,WHoops,Lanman Center,Court 1
1/29/2026,8:00 PM,TC,JE,WHoops,Lanman Center,Court 2
1/29/2026,8:00 PM,ES,BF,WHoops,Lanman Center,Court 3
2/3/2026,9:00 PM,DC,GH,WHoops,Lanman Center,Court 1
2/3/2026,9:00 PM,BK,SY,WHoops,Lanman Center,Court 2
2/3/2026,9:00 PM,BR,SM,WHoops,Lanman Center,Court 3
2/3/2026,10:00 PM,TD,BF,WHoops,Lanman Center,Court 1
2/3/2026,10:00 PM,MY,JE,WHoops,Lanman Center,Court 2
2/3/2026,10:00 PM,TC,PC,WHoops,Lanman Center,Court 3
2/5/2026,9:00 PM,ES,TD,WHoops,Lanman Center,Court 1
2/5/2026,9:00 PM,MY,BF,WHoops,Lanman Center,Court 2
2/5/2026,9:00 PM,JE,PC,WHoops,Lanman Center,Court 3
2/5/2026,10:00 PM,MC,DC,WHoops,Lanman Center,Court 1
2/5/2026,10:00 PM,BK,GH,WHoops,Lanman Center,Court 2
2/5/2026,10:00 PM,SY,SM,WHoops,Lanman Center,Court 3
