"Indoor Soccer Schedule!
Games will be on MONDAYS, TUESDAYS, WEDNESDAYS, and THURSDAYS
Games will take place in  Lanman Center!
Email Natalie (natalie.haase@yale.edu) with any questions",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Green Division: MY, BF, DC, TC, SM, GH, PC",,,,,,,,,,,,,,,,,,,,,
"Blue Division: ES, SY, TD, MC, JE, BR, BK",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WEEK 1,,,,,,,,,,,,,,,,,,,,,
Monday (3/23),,,,Tuesday (3/24),,,,Wednesday (3/25),,,,Thursday (3/26),,,,,,,,,
,MY vs BF,8:00 PM,Court 1,,JE vs BK,8:00 PM,Court 1,,BF vs GH,8:00 PM,Court 1,,SY vs BR,8:00 PM,Court 1,,,,,,
,SM vs GH,8:00 PM,Court 2,,SY vs MC,8:00 PM,Court 2,,DC vs PC,9:00 PM,Court 1,,TD vs BK,8:00 PM,Court 2,,,,,,
,DC vs TC,9:00 PM,Court 1,,SM vs PC,8:00 PM,Court 3,,MY vs TC,9:00 PM,Court 2,,ES vs MC,8:00 PM,Court 1,,,,,,
,ES vs SY,9:00 PM,Court 2,,MY vs DC,9:00 PM,Court 1,,,,,,,,,,,,,,
,TD vs MC,10:00 PM,Court 1,,BF vs TC,9:00 PM,Court 2,,,,,,,,,,,,,,
,JE vs BR,10:00 PM,Court 2,,ES vs TD,10:00 PM,Court 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WEEK 2,,,,,,,,,,,,,,,,,,,,,
Monday (3/30),,,,Tuesday (3/31),,,,Wednesday (4/1),,,,Thursday (4/2),,,,,,,,,
,ES vs JE,8:00 PM,Court 1,,MY vs SM,8:00 PM,Court 1,,MC vs BK,8:00 PM,Court 1,,BF vs DC,8:00 PM,Court 1,,,,,,
,SY vs BK,9:00 PM,Court 1,,BF vs PC,8:00 PM,Court 2,,SY vs JE,9:00 PM,Court 1,,TC vs SM,8:00 PM,Court 2,,,,,,
,TD vs BR,9:00 PM,Court 2,,DC vs GH,9:00 PM,Court 1,,ES vs BR,10:00 PM,Court 1,,GH vs PC,9:00 PM,Court 1,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WEEK 3,,,,,,,,,,,,,,,,,,,,,
Monday (4/6),,,,Tuesday (4/7),,,,Wednesday (4/8),,,,Thursday (4/9),,,,,,,,,
,MY vs PC,8:00 PM,Court 1,,MC vs BR,8:00 PM,Court 1,,TC vs PC,8:00 PM,Court 1,,SY vs TD,8:00 PM,Court 1,,,,,,
,DC vs SM,8:00 PM,Court 2,,ES vs BK,8:00 PM,Court 2,,BF vs SM,9:00 PM,Court 1,,BR vs BK,8:00 PM,Court 2,,,,,,
,TC vs GH,9:00 PM,Court 1,,TD vs JE,9:00 PM,Court 3,,MY vs GH,10:00 PM,Court 1,,MC vs JE,9:00 PM,Court 3,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WEEK 4,,,,,,,,,,,,,,,,,,,,,
Monday (4/13) 1st Day Playoffs ,,,,Tuesday (4/14) Quarterfinals,,,,Wednesday (4/15) Semifinals,,,,Thursday (4/16) Finals,,,,,,,,,
,,8:00 PM,Court 1,,,8:00 PM,Court 1,,,8:00 PM,Court 1,,,8:00 PM,Court 1,,,,,,
,,8:00 PM,Court 2,,,8:00 PM,Court 2,,,8:00 PM,Court 2,,,,,,,,,,
,,9:00 PM,Court 1,,,9:00 PM,Court 1,,,,,,,,,,,,,,
,,9:00 PM,Court 2,,,9:00 PM,Court 2,,,,,,,,,,,,,,
,,10:00 PM,Court 1,,,,,,,,,,,,,,,,,,
,,10:00 PM,Court 2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WEEK 5 ,,,,,,,,,,,,,,,,,,,,,
Monday (4/20) ,,,Tuesday (4/21),,,Wednesday (4/22),,,Thursday (4/23),,,Friday (4/24),,,,,,,,,
LANMAN OFFLINE [4/20 - 4/28] ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5:15 PM
