"Kanjam Schedule!
Games will be on MONDAYS and WEDNESDAYS
Games will take place on the Morse-Stiles Crescent
Email Natalie (natalie.haase@yale.edu) with any questions",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Green Division: BF, DC, SM, GH, TD, TC, PC",,,,,,,,,,,,,,,,,,,,
"Blue Division: ES, MC, SY, BK, BR, MY, JE",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WEEK 1,,,,,,,,,,,,,,,,,,,,
Monday (3/23),,,Wednesday (3/25),,,,,,,,,,,,,,,,,
4:00 PM,BF vs DC,,4:00 PM,BR vs JE,,,,,,,,,,,,,,,,
,SM vs GH,,,ES vs SY,,,,,,,,,,,,,,,,
,TD vs TC,,,MC vs BK,,,,,,,,,,,,,,,,
5:00 PM,ES vs MC,,5:00 PM,TD vs PC,,,,,,,,,,,,,,,,
,SY vs BK,,,BF vs SM,,,,,,,,,,,,,,,,
,BR vs MY,,,DC vs GH,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WEEK 2,,,,,,,,,,,,,,,,,,,,
Monday (3/30),,,Wednesday (4/1),,,,,,,,,,,,,,,,,
4:00 PM,MC vs MY,,4:00 PM,GH vs PC,,,,,,,,,,,,,,,,
,SY vs JE,,,BF vs TC,,,,,,,,,,,,,,,,
,ES vs BK,,,DC vs TD,,,,,,,,,,,,,,,,
5:00 PM,BF vs TD,,5:00 PM,ES vs BR,,,,,,,,,,,,,,,,
,DC vs PC,,,MC vs JE,,,,,,,,,,,,,,,,
,SM vs TC,,,SY vs MY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WEEK 3,,,,,,,,,,,,,,,,,,,,
Monday (4/6),,,Wednesday (4/8),,,,,,,,,,,,,,,,,
4:00 PM,SM vs TD,,4:00 PM,SY vs BR,,,,,,,,,,,,,,,,
,GH vs TC,,,BK vs MY,,,,,,,,,,,,,,,,
,BF vs PC,,,ES vs JE,,,,,,,,,,,,,,,,
5:00 PM,BK vs JE,,5:00 PM,DC vs SM,,,,,,,,,,,,,,,,
,ES vs MY,,,GH vs TD,,,,,,,,,,,,,,,,
,MC vs BR,,,TC vs PC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WEEK 4,,,1st Day Playoffs ,,,,,,,,,,,,,,,,,
Monday (4/13),,,Wednesday (4/15),,,,,,,,,,,,,,,,,
4:00 PM,DC vs TC,,4:00 PM,,,,,,,,,,,,,,,,,
,SM vs PC,,,,,,,,,,,,,,,,,,,
,BF vs GH,,,,,,,,,,,,,,,,,,,
5:00 PM,MC vs SY,,5:00 PM,,,,,,,,,,,,,,,,,
,BK vs BR,,,,,,,,,,,,,,,,,,,
,MY vs JE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
WEEK 4,,,,,,,,,,,,,,,,,,,,
Monday (4/20) quarters ,,Tuesday (4/21) semis,,Wednesday (4/22) finals,,,,,,,,,,,,,,,,
4:00 PM,,4:00 PM,,4:00 PM,,,,,,,,,,,,,,,,
,,4:00 PM,,,,,,,,,,,,,,,,,,
5:00 PM,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5:00 PM
