Date,Time,Home College,Away College,Sport,Location,Room
9/11/2025,4:00 PM,MC,TD,Cornhole,Morse-Stiles Crescent,
9/11/2025,4:00 PM,MY,BK,Cornhole,Morse-Stiles Crescent,
9/11/2025,4:00 PM,SM,PC,Cornhole,Morse-Stiles Crescent,
9/11/2025,5:15 PM,BF,SY,Cornhole,Morse-Stiles Crescent,
9/11/2025,5:15 PM,GH,ES,Cornhole,Morse-Stiles Crescent,
9/11/2025,5:15 PM,DC,BR,Cornhole,Morse-Stiles Crescent,
9/16/2025,4:00 PM,DC,TC,Cornhole,Morse-Stiles Crescent,
9/18/2025,4:00 PM,TD,PC,Cornhole,Morse-Stiles Crescent,
9/16/2025,4:00 PM,BF,GH,Cornhole,Morse-Stiles Crescent,
9/18/2025,4:00 PM,MY,JE,Cornhole,Morse-Stiles Crescent,
9/16/2025,4:00 PM,SY,ES,Cornhole,Morse-Stiles Crescent,
9/18/2025,4:00 PM,MC,BK,Cornhole,Morse-Stiles Crescent,
9/16/2025,5:15 PM,SM,JE,Cornhole,Morse-Stiles Crescent,
9/18/2025,5:15 PM,SY,BR,Cornhole,Morse-Stiles Crescent,
9/16/2025,5:15 PM,MC,MY,Cornhole,Morse-Stiles Crescent,
9/18/2025,5:15 PM,GH,TC,Cornhole,Morse-Stiles Crescent,
9/16/2025,5:15 PM,TD,BK,Cornhole,Morse-Stiles Crescent,
9/18/2025,5:15 PM,BF,ES,Cornhole,Morse-Stiles Crescent,
9/25/2025,4:00 PM,BK,JE,Cornhole,Morse-Stiles Crescent,
9/25/2025,4:00 PM,MC,PC,Cornhole,Morse-Stiles Crescent,
9/25/2025,4:00 PM,TD,SM,Cornhole,Morse-Stiles Crescent,
9/25/2025,5:15 PM,ES,TC,Cornhole,Morse-Stiles Crescent,
9/25/2025,5:15 PM,BF,BR,Cornhole,Morse-Stiles Crescent,
9/25/2025,5:15 PM,SY,DC,Cornhole,Morse-Stiles Crescent,
9/30/2025,4:00 PM,GH,DC,Cornhole,Morse-Stiles Crescent,
9/30/2025,4:00 PM,ES,BR,Cornhole,Morse-Stiles Crescent,
9/30/2025,4:00 PM,BF,TC,Cornhole,Morse-Stiles Crescent,
9/30/2025,5:15 PM,MY,SM,Cornhole,Morse-Stiles Crescent,
9/30/2025,5:15 PM,BK,PC,Cornhole,Morse-Stiles Crescent,
9/30/2025,5:15 PM,MC,JE,Cornhole,Morse-Stiles Crescent,
10/21/2025,4:00 PM,BF,DC,Cornhole,Morse-Stiles Crescent,
10/23/2025,4:00 PM,TD,MY,Cornhole,Morse-Stiles Crescent,
10/21/2025,4:00 PM,SY,TC,Cornhole,Morse-Stiles Crescent,
10/23/2025,4:00 PM,BK,SM,Cornhole,Morse-Stiles Crescent,
10/21/2025,4:00 PM,GH,BR,Cornhole,Morse-Stiles Crescent,
10/23/2025,4:00 PM,PC,JE,Cornhole,Morse-Stiles Crescent,
10/21/2025,5:15 PM,MC,SM,Cornhole,Morse-Stiles Crescent,
10/23/2025,5:15 PM,SY,GH,Cornhole,Morse-Stiles Crescent,
10/21/2025,5:15 PM,TD,JE,Cornhole,Morse-Stiles Crescent,
10/23/2025,5:15 PM,ES,DC,Cornhole,Morse-Stiles Crescent,
10/21/2025,5:15 PM,MY,PC,Cornhole,Morse-Stiles Crescent,
10/23/2025,5:15 PM,BR,TC,Cornhole,Morse-Stiles Crescent,
