Home_Team,Home_Team_Score,Away_Team,Away_Team_Score,Winner,Forfeit?,Date,Time,Location
BF,12,MC,20,MC,Yes,9/10/2024,5:15 PM,Field 1
ES,16,TD,42,TD,No,9/10/2024,5:15 PM,Field 2
JE,43,BK,34,JE,No,9/10/2024,5:15 PM,Field 3
MY,0,SY,3,SY,No,9/10/2024,4:00 PM,Field 2
GH,0,TC,3,TC,Yes,9/10/2024,4:00 PM,Field 1
SM,3,PC,0,SM,No,9/10/2024,4:00 PM,Field 3
ES,0,BF,3,BF,No,9/12/2024,4:00 PM,Field 3
MC,30,TD,6,MC,Yes,9/12/2024,4:00 PM,Field 2
TC,33,MY,25,TC,Yes,9/12/2024,5:15 PM,Field 2
GH,0,SY,3,SY,No,9/12/2024,5:15 PM,Field 3
BK,0,DC,3,DC,Yes,9/12/2024,4:00 PM,Field 1
MC,18,ES,13,MC,No,9/17/2024,4:00 PM,Field 3
BF,14,JE,27,JE,Yes,9/17/2024,4:00 PM,Filed 1
BR,54,MY,16,BR,No,9/17/2024,5:15 PM,Field 2
SM,0,BR,3,BR,Yes,9/12/2024,5:15 PM,Field 1
TD,0,DC,3,DC,Yes,9/17/2024,4:00 PM,Field 2
GH,0,PC,3,PC,No,9/17/2024,5:15 PM,Field 1
JE,25,TD,35,TD,No,9/19/2024,5:15 PM,Field 3
DC,12,BF,18,BF,No,9/19/2024,5:15 PM,Field 2
SM,0,TC,3,TC,No,9/19/2024,4:00 PM,Field 1
GH,0,BR,3,BR,Yes,9/19/2024,4:00 PM,Field 2
BK,0,MC,3,MC,Yes,9/19/2024,5:15 PM,Field 1
MY,0,PC,3,PC,Yes,9/19/2024,4:00 PM,Field 3
TC,3,SY,0,TC,Yes,9/17/2024,5:15 PM,Field 3
PC,48,TC,20,PC,Yes,9/24/2024,4:00 PM,Field 2
DC,3,ES,0,DC,Yes,9/24/2024,5:15 PM,Field 1
BK,36,BF,22,BK,Yes,9/24/2024,5:15 PM,Field 3
DC,0,MC,14,MC,Yes,9/26/2024,4:00 PM,Field 3
GH,0,SM,0,Draw,Yes,9/24/2024,4:00 PM,Field 3
ES,3,JE,0,ES,Yes,9/26/2024,4:00 PM,Field 2
TD,3,BK,0,TD,No,9/26/2024,4:00 PM,Field 1
SM,0,MY,0,Draw,No,9/26/2024,5:15 PM,Field 1
MC,16,JE,0,MC,Yes,9/24/2024,5:15 PM,Field 2
BR,3,SY,0,BR,Yes,9/24/2024,4:00 PM,Field 1
SY,0,PC,0,Draw,No,9/26/2024,5:15 PM,Field 2
TC,0,BR,3,BR,Yes,9/26/2024,5:15 PM,Field 3
ES,3,BK,0,ES,Yes,10/1/2024,5:15 PM,Field 2
PC,22,BR,48,BR,No,10/1/2024,4:00 PM,Field 3
JE,16,DC,22,DC,No,10/1/2024,5:15 PM,Field 3
SY,3,SM,0,SY,Yes,10/1/2024,4:00 PM,Field 2
MY,0,GH,0,Draw,No,10/1/2024,4:00 PM,Field 1
BF,13,TD,19,TD,No,10/1/2024,5:15 PM,Field 1
MC,3,Bye,0,MC,No,10/22/2024,4:00 PM,Field ?
BR,3,Bye,0,BR,No,10/22/2024,4:00 PM,Field ?
PC,20,MY,0,PC,No,10/22/2024,4:00 PM,Field ?
SY,30,SM,0,SY,No,10/22/2024,4:00 PM,Field ?
JE,12,TD,28,TD,No,10/22/2024,5:15 PM,Field ?
BK,12,DC,44,DC,No,10/22/2024,5:15 PM,Field ?
ES,18,BF,14,ES,No,10/22/2024,5:15 PM,Field ?
GH,3,TC,0,GH,No,10/22/2024,4:00 PM,Field ?
ES,0,MC,3,MC,No,10/24/2024,4:00 PM,Field ?
DC,1,TD,0,DC,No,10/24/2024,4:00 PM,Field ?
GH,0,BR,1,BR,No,10/24/2024,5:00 PM,Field ?
SY,20,PC,14,SY,No,10/24/2024,5:00 PM,Field ?
BR,1,SY,0,BR,No,10/29/2024,4:00 PM,Field ?
MC,14,DC,8,MC,No,10/29/2024,5:00 PM,Field ?
BR,0,MC,24,MC,No,10/31/2024,5:00 PM,Field ?
