Date,Time,Home College,Away College,Sport,Location,Room
9/8/2026,4:00 PM,SY,MC,Flag Football,Yale Bowl,
9/10/2026,4:00 PM,MY,SM,Flag Football,Yale Bowl,
9/8/2026,4:00 PM,JE,DC,Flag Football,Yale Bowl,
9/10/2026,4:00 PM,ES,BK,Flag Football,Yale Bowl,
9/8/2026,4:00 PM,BF,TC,Flag Football,Yale Bowl,
9/10/2026,4:00 PM,TD,PC,Flag Football,Yale Bowl,
9/8/2026,5:15 PM,ES,TD,Flag Football,Yale Bowl,
9/10/2026,5:15 PM,BF,BR,Flag Football,Yale Bowl,
9/8/2026,5:15 PM,BK,PC,Flag Football,Yale Bowl,
9/10/2026,5:15 PM,SY,JE,Flag Football,Yale Bowl,
9/8/2026,5:15 PM,MY,GH,Flag Football,Yale Bowl,
9/10/2026,5:15 PM,MC,DC,Flag Football,Yale Bowl,
9/15/2026,4:00 PM,MC,TC,Flag Football,Yale Bowl,
9/17/2026,4:00 PM,ES,MY,Flag Football,Yale Bowl,
9/15/2026,4:00 PM,JE,BR,Flag Football,Yale Bowl,
9/17/2026,4:00 PM,TD,SM,Flag Football,Yale Bowl,
9/15/2026,4:00 PM,SY,DC,Flag Football,Yale Bowl,
9/17/2026,4:00 PM,BK,GH,Flag Football,Yale Bowl,
9/15/2026,5:15 PM,TD,GH,Flag Football,Yale Bowl,
9/17/2026,5:15 PM,SY,BF,Flag Football,Yale Bowl,
9/15/2026,5:15 PM,BK,SM,Flag Football,Yale Bowl,
9/17/2026,5:15 PM,MC,BR,Flag Football,Yale Bowl,
9/15/2026,5:15 PM,ES,PC,Flag Football,Yale Bowl,
9/17/2026,5:15 PM,JE,TC,Flag Football,Yale Bowl,
9/22/2026,4:00 PM,DC,BR,Flag Football,Yale Bowl,
9/24/2026,4:00 PM,BK,MY,Flag Football,Yale Bowl,
9/22/2026,4:00 PM,SY,TC,Flag Football,Yale Bowl,
9/24/2026,4:00 PM,PC,GH,Flag Football,Yale Bowl,
9/22/2026,4:00 PM,MC,BF,Flag Football,Yale Bowl,
9/24/2026,4:00 PM,ES,SM,Flag Football,Yale Bowl,
9/22/2026,5:15 PM,PC,SM,Flag Football,Yale Bowl,
9/24/2026,5:15 PM,JE,BF,Flag Football,Yale Bowl,
9/22/2026,5:15 PM,ES,GH,Flag Football,Yale Bowl,
9/24/2026,5:15 PM,DC,TC,Flag Football,Yale Bowl,
9/22/2026,5:15 PM,TD,MY,Flag Football,Yale Bowl,
9/24/2026,5:15 PM,SY,BR,Flag Football,Yale Bowl,
9/29/2026,4:00 PM,MC,JE,Flag Football,Yale Bowl,
9/29/2026,4:00 PM,DC,BF,Flag Football,Yale Bowl,
9/29/2026,4:00 PM,TC,BR,Flag Football,Yale Bowl,
9/29/2026,5:15 PM,TD,BK,Flag Football,Yale Bowl,
9/29/2026,5:15 PM,PC,MY,Flag Football,Yale Bowl,
9/29/2026,5:15 PM,GH,SM,Flag Football,Yale Bowl,
