Date,Time,Home College,Away College,Location_Extra,Sport,Location,Type
3/24,8:00 PM,SY,PC,,Intramural Sport,Court 1,Regular
3/24,8:00 PM,SM,ES,,Intramural Sport,Court 2,Regular
3/24,9:00 PM,TC,DC,,Intramural Sport,Court 1,Regular
3/25,8:00 PM,GH,BK,,Intramural Sport,Court 1,Regular
3/25,8:00 PM,BF,MY,,Intramural Sport,Court 2,Regular
3/25,8:00 PM,TD,JE,,Intramural Sport,Court 3,Regular
3/26,8:00 PM,TC,MC,,Intramural Sport,Court 1,Regular
3/26,8:00 PM,SY,SM,,Intramural Sport,Court 2,Regular
3/26,9:00 PM,PC,ES,,Intramural Sport,Court 1,Regular
3/27,8:00 PM,TD,BR,,Intramural Sport,Court 1,Regular
3/27,8:00 PM,GH,BF,,Intramural Sport,Court 2,Regular
3/27,8:00 PM,BK,MY,,Intramural Sport,Court 3,Regular
3/31,8:00 PM,BK,JE,,Intramural Sport,Court 1,Regular
3/31,8:00 PM,BF,BR,,Intramural Sport,Court 2,Regular
3/31,9:00 PM,GH,MY,,Intramural Sport,Court 1,Regular
4/1,8:00 PM,PC,DC,,Intramural Sport,Court 1,Regular
4/1,8:00 PM,SM,MC,,Intramural Sport,Court 2,Regular
4/1,8:00 PM,SY,ES,,Intramural Sport,Court 3,Regular
4/2,8:00 PM,GH,TD,,Intramural Sport,Court 1,Regular
4/2,8:00 PM,BK,BR,,Intramural Sport,Court 2,Regular
4/2,9:00 PM,BF,JE,,Intramural Sport,Court 1,Regular
4/3,8:00 PM,SY,TC,,Intramural Sport,Court 1,Regular
4/3,8:00 PM,PC,MC,,Intramural Sport,Court 2,Regular
4/3,8:00 PM,SM,DC,,Intramural Sport,Court 3,Regular
4/7,8:00 PM,ES,MC,,Intramural Sport,Court 1,Regular
4/7,8:00 PM,SY,DC,,Intramural Sport,Court 2,Regular
4/7,9:00 PM,PC,TC,,Intramural Sport,Court 1,Regular
4/8,8:00 PM,MY,BR,,Intramural Sport,Court 1,Regular
4/8,8:00 PM,GH,JE,,Intramural Sport,Court 2,Regular
4/8,8:00 PM,BK,TD,,Intramural Sport,Court 3,Regular
4/9,8:00 PM,SM,TC,,Intramural Sport,Court 1,Regular
4/9,8:00 PM,ES,DC,,Intramural Sport,Court 2,Regular
4/9,9:00 PM,SY,MC,,Intramural Sport,Court 1,Regular
4/10,8:00 PM,BF,TD,,Intramural Sport,Court 1,Regular
4/10,8:00 PM,MY,JE,,Intramural Sport,Court 2,Regular
4/10,8:00 PM,GH,BR,,Intramural Sport,Court 3,Regular
4/14,8:00 PM,BK,BF,,Intramural Sport,Court 1,Regular
4/14,8:00 PM,MY,TD,,Intramural Sport,Court 2,Regular
4/14,9:00 PM,JE,BR,,Intramural Sport,Court 1,Regular
4/15,8:00 PM,PC,SM,,Intramural Sport,Court 1,Regular
4/15,8:00 PM,ES,TC,,Intramural Sport,Court 2,Regular
4/15,8:00 PM,DC,MC,,Intramural Sport,Court 3,Regular
4/16 Quarterfinals,8:00 PM,TBD,TBD,,Intramural Sport,Court 1,Quarterfinals
4/16 Quarterfinals,8:00 PM,TBD,TBD,,Intramural Sport,Court 2,Quarterfinals
4/16 Quarterfinals,9:00 PM,TBD,TBD,,Intramural Sport,Court 1,Quarterfinals
4/16 Quarterfinals,9:00 PM,TBD,TBD,,Intramural Sport,Court 2,Quarterfinals
4/17 Semifinals,8:00 PM,TBD,TBD,,Intramural Sport,Court 1,Semifinals
4/17 Semifinals,8:00 PM,TBD,TBD,,Intramural Sport,Court 2,Semifinals
