Home_Team,Home_Team_Score,Away_Team,Away_Team_Score,Winner,Forfeit?,Date,Time,Location
JE,2,BK,1,JE,No,9/9/2024,8:00 PM,Room K
MY,2,TD,1,MY,No,9/9/2024,9:00 PM,Room K
TC,2,GH,1,TC,No,9/10/2024,9:00 PM,Room K
DC,2,SM,1,DC,No,9/10/2024,10:00 PM,Room K
MC,0,ES,2,ES,No,9/10/2024,8:00 PM,Room K
MY,2,SY,1,MY,No,9/11/2024,8:00 PM,Room K
BK,1,PC,2,PC,No,9/11/2024,9:00 PM,Room K
TC,2,SM,1,TC,No,9/12/2024,8:00 PM,Room K
ES,2,BR,1,ES,No,9/12/2024,9:00 PM,Room K
GH,1,DC,2,DC,No,9/12/2024,10:00 PM,Room K
BF,2,SY,1,BF,No,9/9/2024,10:00 PM,Room K
SM,2,GH,1,SM,No,9/16/2024,8:00 PM,Room K
TC,2,MC,0,TC,No,9/16/2024,9:00 PM,Room K
DC,1,BR,2,BR,No,9/16/2024,10:00 PM,Room K
SY,2,TD,1,SY,No,9/17/2024,8:00 PM,Room K
MY,2,JE,0,MY,No,9/17/2024,9:00 PM,Room K
PC,0,BF,2,BF,No,9/17/2024,10:00 PM,Room K
MC,2,DC,1,MC,No,9/18/2024,8:00 PM,Room K
ES,2,GH,1,ES,No,9/18/2024,9:00 PM,Room K
BR,2,TC,1,BR,No,9/18/2024,10:00 PM,Room K
BF,2,JE,0,BF,No,9/19/2024,8:00 PM,Room K
TD,2,BK,0,TD,No,9/19/2024,9:00 PM,Room K
MY,2,PC,0,MY,No,9/19/2024,10:00 PM,Room K
MY,2,BK,0,MY,No,9/23/2024,8:00 PM,Room K
PC,2,SY,1,PC,No,9/23/2024,9:00 PM,Room K
JE,0,TD,2,TD,No,9/23/2024,10:00 PM,Room K
BR,1,SM,2,SM,No,9/24/2024,9:00 PM,Room K
GH,2,MC,0,GH,No,9/24/2024,10:00 PM,Room K
PC,1,TD,2,TD,No,9/25/2024,8:00 PM,Room K
BF,2,BK,0,BF,No,9/25/2024,9:00 PM,Room K
SY,2,JE,1,SY,No,9/25/2024,10:00 PM,Room K
ES,2,TC,0,ES,No,9/24/2024,8:00 PM,Room K
GH,2,BR,0,GH,No,9/26/2024,8:00 PM,Room K
DC,0,ES,2,ES,No,9/26/2024,9:00 PM,Room K
SM,2,MC,1,SM,No,9/26/2024,10:00 PM,Room K
BR,2,MC,0,BR,No,9/30/2024,8:00 PM,Room K
SM,2,ES,1,SM,No,9/30/2024,10:00 PM,Room K
TC,2,DC,0,TC,No,9/30/2024,9:00 PM,Room K
JE,0,PC,2,PC,No,10/1/2024,8:00 PM,Room K
MY,2,BF,1,MY,No,10/1/2024,9:00 PM,Room K
SY,2,BK,1,SY,No,10/1/2024,10:00 PM,Room K
ES,3,Bye,0,ES,No,10/1/2024,8:00 PM,Room K
MY,3,Bye,0,MY,No,10/1/2024,8:00 PM,Room K
BR,2,DC,1,BR,No,10/21/2024,8:00 PM,Room K
SM,2,GH,1,SM,No,10/21/2024,9:00 PM,Room K
TC,2,MC,0,TC,No,10/21/2024,10:00 PM,Room K
PC,2,SY,1,PC,Yes,10/22/2024,8:00 PM,Room K
BF,2,JE,0,BF,No,10/22/2024,9:00 PM,Room K
BK,2,TD,1,BK,No,10/22/2024,10:00 PM,Room K
TC,0,SM,2,TC,No,10/23/2024,8:00 PM,Room K
ES,0,BR,2,BR,No,10/23/2024,9:00 PM,Room K
BK,2,MY,0,BK,No,10/24/2024,8:00 PM,Room K
BF,2,PC,1,BF,No,10/24/2024,9:00 PM,Room K
BK,2,BF,0,BK,No,10/28/2024,8:00 PM,Room K
SM,2,BR,1,SM,No,10/28/2024,9:00 PM,Room K
BK,2,SM,1,BK,No,10/29/2024,8:00 PM,Room K
TD,2,BF,1,TD,No,9/11/2024,10:00 PM,Room K
