Date,Time,Home College,Away College,Sport,Location,Room
9/8/2025,8:00 PM,BF,TD,Pickleball,PWG,Room K
9/8/2025,8:00 PM,MY,BR,Pickleball,PWG,Room K
9/8/2025,9:00 PM,SY,DC,Pickleball,PWG,Room K
9/8/2025,9:00 PM,TC,MC,Pickleball,PWG,Room K
9/8/2025,10:00 PM,GH,PC,Pickleball,PWG,Room K
9/8/2025,10:00 PM,SM,BK,Pickleball,PWG,Room K
9/15/2025,8:00 PM,BR,BK,Pickleball,PWG,Room K
9/15/2025,8:00 PM,GH,ES,Pickleball,PWG,Room K
9/15/2025,8:00 PM,SM,JE,Pickleball,PWG,Room K
9/15/2025,8:00 PM,TD,PC,Pickleball,PWG,Room K
9/15/2025,9:00 PM,BF,TC,Pickleball,PWG,Room K
9/15/2025,9:00 PM,MY,SY,Pickleball,PWG,Room K
9/15/2025,9:00 PM,SY,JE,Pickleball,PWG,Room K
9/15/2025,9:00 PM,TC,ES,Pickleball,PWG,Room K
9/15/2025,10:00 PM,BF,MC,Pickleball,PWG,Room K
9/15/2025,10:00 PM,BR,DC,Pickleball,PWG,Room K
9/15/2025,10:00 PM,MY,DC,Pickleball,PWG,Room K
9/15/2025,10:00 PM,TD,MC,Pickleball,PWG,Room K
9/22/2025,8:00 PM,BR,SY,Pickleball,PWG,Room K
9/22/2025,8:00 PM,MC,ES,Pickleball,PWG,Room K
9/22/2025,9:00 PM,BF,PC,Pickleball,PWG,Room K
9/22/2025,9:00 PM,DC,SM,Pickleball,PWG,Room K
9/22/2025,10:00 PM,BK,JE,Pickleball,PWG,Room K
9/22/2025,10:00 PM,TD,GH,Pickleball,PWG,Room K
9/29/2025,8:00 PM,SY,SM,Pickleball,PWG,Room K
9/29/2025,8:00 PM,TC,GH,Pickleball,PWG,Room K
9/29/2025,9:00 PM,DC,BK,Pickleball,PWG,Room K
9/29/2025,9:00 PM,MC,PC,Pickleball,PWG,Room K
9/29/2025,10:00 PM,BF,ES,Pickleball,PWG,Room K
9/29/2025,10:00 PM,MY,JE,Pickleball,PWG,Room K
10/20/2025,8:00 PM,BF,GH,Pickleball,PWG,Room K
10/20/2025,8:00 PM,DC,JE,Pickleball,PWG,Room K
10/20/2025,8:00 PM,MY,SM,Pickleball,PWG,Room K
10/20/2025,8:00 PM,TD,TC,Pickleball,PWG,Room K
10/20/2025,9:00 PM,BR,JE,Pickleball,PWG,Room K
10/20/2025,9:00 PM,MC,GH,Pickleball,PWG,Room K
10/20/2025,9:00 PM,MY,BK,Pickleball,PWG,Room K
10/20/2025,9:00 PM,TD,ES,Pickleball,PWG,Room K
10/20/2025,10:00 PM,BR,SM,Pickleball,PWG,Room K
10/20/2025,10:00 PM,PC,ES,Pickleball,PWG,Room K
10/20/2025,10:00 PM,SY,BK,Pickleball,PWG,Room K
10/20/2025,10:00 PM,TC,PC,Pickleball,PWG,Room K
