Home_Team,Home_Team_Score,Away_Team,Away_Team_Score,Winner,Forfeit?,Date,Time,Location
MC,0,SY,1,SY,No,9/9/2024,4:00 PM,Field 1
GH,2,BF,1,GH,No,9/9/2024,5:15 PM,Field 1
TD,8,JE,0,TD,No,9/9/2024,5:15 PM,Field 2
TD,7,GH,4,TD,No,9/11/2024,4:00 PM,Field 3
MC,5,ES,0,MC,No,9/11/2024,5:15 PM,Field 3
BK,0,DC,3,DC,Yes,9/11/2024,5:15 PM,Field 1
ES,2,SM,1,ES,No,9/9/2024,4:00 PM,Field 2
JE,4,MY,4,Draw,No,9/16/2024,4:00 PM,Field 2
MC,3,PC,0,MC,Yes,9/16/2024,5:15 PM,Field 1
DC,1,SM,0,DC,No,9/16/2024,5:15 PM,Field 2
SY,4,ES,0,SY,No,9/16/2024,5:15 PM,Field 3
BR,2,TC,3,TC,No,9/9/2024,5:15 PM,Field 3
MY,5,TC,1,MY,No,9/11/2024,4:00 PM,Field 1
SM,3,SY,0,SM,Yes,9/11/2024,5:15 PM,Field 2
BK,3,PC,0,BK,Yes,9/9/2024,4:00 PM,Field 3
PC,0,SM,3,SM,Yes,9/18/2024,4:00 PM,Field 3
MC,2,DC,1,MC,No,9/18/2024,4:00 PM,Field 2
BK,0,SY,3,SY,Yes,9/18/2024,4:00 PM,Field 1
BR,0,JE,3,JE,Yes,9/18/2024,5:15 PM,Field 3
BF,3,JE,0,BF,Yes,9/11/2024,4:00 PM,Field 2
BR,0,GH,3,GH,Yes,9/16/2024,4:00 PM,Field 1
BF,1,TD,1,Draw,No,9/16/2024,4:00 PM,Field 3
GH,3,MY,0,GH,Yes,9/18/2024,5:15 PM,Field 2
BF,5,TC,4,BF,No,9/18/2024,5:15 PM,Field 1
DC,3,ES,0,DC,Yes,9/23/2024,4:00 PM,Field 1
MC,6,BK,0,MC,No,9/23/2024,4:00 PM,Field 3
GH,3,TC,0,GH,Yes,9/23/2024,5:15 PM,Field 3
TD,2,MY,2,Draw,No,9/23/2024,5:15 PM,Field 1
BF,8,BR,3,BF,No,9/23/2024,5:15 PM,Field 2
TC,3,JE,0,TC,Yes,9/25/2025,4:00 PM,Field 1
MY,0,BF,3,BF,Yes,9/25/2025,4:00 PM,Field 3
BR,2,TD,0,BR,No,9/25/2025,4:00 PM,Field 2
BK,3,SM,0,BK,Yes,9/25/2024,5:15 PM,Field 1
ES,3,PC,0,ES,Yes,9/25/2024,5:15 PM,Field 2
PC,0,SY,3,SY,Yes,9/23/2024,4:00 PM,Field 2
DC,0,SY,0,Draw,No,9/25/2024,5:15 PM,Field 3
ES,3,BK,0,ES,Yes,9/30/2024,4:00 PM,Field 2
PC,0,DC,3,DC,Yes,9/30/2024,4:00 PM,Field 3
MC,5,SM,1,MC,No,9/30/2024,4:00 PM,Field 1
TC,3,TD,5,TD,No,9/30/2024,5:15 PM,Field 2
BR,7,MY,2,BR,No,9/30/2024,5:15 PM,Field 3
GH,4,JE,1,GH,No,9/30/2024,5:15 PM,Field 1
GH,3,Bye,0,GH,No,10/21/2024,4:00 PM,Field 1
MC,3,Bye,0,MC,No,10/21/2024,4:00 PM,Field 1
SY,4,SM,1,SY,No,10/21/2024,4:00 PM,Field 1
MY,6,BR,1,MY,No,10/21/2024,5:15 PM,Field 1
BF,10,JE,1,BF,No,10/21/2024,5:15 PM,Field 1
TD,2,TC,5,TC,No,10/21/2024,5:15 PM,Field 1
ES,3,BK,0,ES,Yes,10/21/2024,4:00 PM,Field 1
DC,3,PC,0,DC,Yes,10/21/2024,4:00 PM,Field 1
BF,3,MY,0,BF,No,10/23/2024,4:00 PM,Field 1
GH,2,TC,0,GH,No,10/23/2024,4:00 PM,Field 1
MC,3,ES,0,MC,No,10/23/2024,5:00 PM,Field 1
SY,1,DC,0,SY,No,10/23/2024,5:00 PM,Field 1
BF,1,GH,0,BF,No,10/28/2024,5:00 PM,Field 1
SY,1,MC,0,SY,No,10/28/2024,4:00 PM,Field 1
BF,2,SY,1,BF,No,11/4/2024,4:00 PM,C Special
