Date,Time,Home College,Away College,Sport,Location,Room
9/10/2025,4:00 PM,BK,MY,Soccer,Field 1,
9/10/2025,4:00 PM,TC,DC,Soccer,Field 2,
9/10/2025,4:00 PM,BR,MC,Soccer,Field 3,
9/10/2025,5:15 PM,BF,SY,Soccer,Field 1,
9/10/2025,5:15 PM,ES,TD,Soccer,Field 2,
9/10/2025,5:15 PM,SM,JE,Soccer,Field 3,
9/15/2025,4:00 PM,PC,JE,Soccer,Field 1,
9/17/2025,4:00 PM,GH,MC,Soccer,Field 1,
9/15/2025,4:00 PM,TD,SY,Soccer,Field 2,
9/17/2025,4:00 PM,DC,MY,Soccer,Field 2,
9/15/2025,4:00 PM,ES,BF,Soccer,Field 3,
9/17/2025,4:00 PM,TC,BK,Soccer,Field 3,
9/15/2025,5:15 PM,MY,GH,Soccer,Field 1,
9/17/2025,5:15 PM,SM,BF,Soccer,Field 1,
9/15/2025,5:15 PM,BK,DC,Soccer,Field 2,
9/17/2025,5:15 PM,PC,TD,Soccer,Field 2,
9/15/2025,5:15 PM,BR,TC,Soccer,Field 3,
9/17/2025,5:15 PM,ES,SY,Soccer,Field 3,
9/22/2025,4:00 PM,JE,SY,Soccer,Field 1,
9/22/2025,4:00 PM,PC,BF,Soccer,Field 2,
9/22/2025,4:00 PM,SM,TD,Soccer,Field 3,
9/22/2025,5:15 PM,BR,BK,Soccer,Field 1,
9/22/2025,5:15 PM,MY,MC,Soccer,Field 2,
9/22/2025,5:15 PM,DC,GH,Soccer,Field 3,
9/29/2025,4:00 PM,JE,TD,Soccer,Field 1,
10/1/2025,4:00 PM,BK,MC,Soccer,Field 1,
9/29/2025,4:00 PM,SM,ES,Soccer,Field 2,
10/1/2025,4:00 PM,BR,GH,Soccer,Field 2,
9/29/2025,4:00 PM,PC,SY,Soccer,Field 3,
10/1/2025,4:00 PM,TC,MY,Soccer,Field 3,
9/29/2025,5:15 PM,TC,GH,Soccer,Field 1,
10/1/2025,5:15 PM,TD,BF,Soccer,Field 1,
9/29/2025,5:15 PM,BR,MY,Soccer,Field 2,
10/1/2025,5:15 PM,JE,ES,Soccer,Field 2,
9/29/2025,5:15 PM,DC,MC,Soccer,Field 3,
10/1/2025,5:15 PM,PC,SM,Soccer,Field 3,
10/20/2025,4:00 PM,PC,ES,Soccer,TBD,
10/20/2025,4:00 PM,SM,SY,Soccer,TBD,
10/20/2025,4:00 PM,JE,BF,Soccer,TBD,
10/20/2025,5:15 PM,BR,DC,Soccer,TBD,
10/20/2025,5:15 PM,TC,MC,Soccer,TBD,
10/20/2025,5:15 PM,BK,GH,Soccer,TBD,
