Home_Team,Home_Team_Score,Away_Team,Away_Team_Score,Winner,Forfeit?,Date,Time,Location
MY,2,BF,0,MY,No,9/9/2024,4:00 PM,Morse-Stiles Crescent
MC,2,SM,0,MC,No,9/9/2024,5:00 PM,Morse-Stiles Crescent
GH,2,JE,1,GH,No,9/9/2024,4:00 PM,Morse-Stiles Crescent
ES,3,BK,0,ES,Yes,9/9/2024,5:00 PM,Morse-Stiles Crescent
DC,2,SY,0,DC,No,9/9/2024,5:00 PM,Morse-Stiles Crescent
TC,3,TD,0,TC,Yes,9/9/2024,4:00 PM,Morse-Stiles Crescent
DC,2,MC,1,DC,No,9/11/2024,4:00 PM,Morse-Stiles Crescent
BF,2,JE,1,BF,No,9/11/2024,5:00 PM,Morse-Stiles Crescent
GH,2,MY,1,GH,No,9/11/2024,5:00 PM,Morse-Stiles Crescent
BR,2,TD,0,BR,No,9/11/2024,5:00 PM,Morse-Stiles Crescent
ES,3,PC,0,ES,Yes,9/11/2024,4:00 PM,Morse-Stiles Crescent
SY,3,SM,0,SY,Yes,9/11/2024,4:00 PM,Morse-Stiles Crescent
DC,2,SM,0,DC,No,9/16/2024,4:00 PM,Morse-Stiles Crescent
PC,2,MC,0,PC,No,9/16/2024,4:00 PM,Morse-Stiles Crescent
SY,2,BK,0,SY,No,9/16/2024,4:00 PM,Morse-Stiles Crescent
JE,2,MY,0,JE,Yes,9/16/2024,5:00 PM,Morse-Stiles Crescent
GH,1,BR,2,BR,No,9/16/2024,5:00 PM,Morse-Stiles Crescent
TC,2,BF,1,TC,No,9/16/2024,5:00 PM,Morse-Stiles Crescent
GH,2,TC,0,GH,No,9/18/2024,4:00 PM,Morse-Stiles Crescent
MY,0,TD,3,TD,Yes,9/18/2024,4:00 PM,Morse-Stiles Crescent
BF,1,BR,2,BR,No,9/18/2024,4:00 PM,Morse-Stiles Crescent
SY,2,PC,0,SY,No,9/18/2024,5:00 PM,Morse-Stiles Crescent
MC,2,BK,0,MC,No,9/18/2024,5:00 PM,Morse-Stiles Crescent
DC,2,ES,1,DC,No,9/18/2024,5:00 PM,Morse-Stiles Crescent
BR,3,JE,0,BR,No,9/23/2024,4:00 PM,Morse-Stiles Crescent
MY,2,TC,0,MY,No,9/23/2024,4:00 PM,Morse-Stiles Crescent
BF,2,TD,1,BF,No,9/23/2024,4:00 PM,Morse-Stiles Crescent
PC,3,SM,0,PC,Yes,9/23/2024,5:00 PM,Morse-Stiles Crescent
SY,1,ES,0,SY,Yes,9/23/2024,5:00 PM,Morse-Stiles Crescent
DC,2,BK,0,DC,No,9/23/2024,5:00 PM,Morse-Stiles Crescent
BK,2,SM,0,BK,Yes,9/25/2024,4:00 PM,Morse-Stiles Crescent
ES,2,MC,0,ES,No,9/25/2024,4:00 PM,Morse-Stiles Crescent
PC,1,DC,2,DC,No,9/25/2024,4:00 PM,Morse-Stiles Crescent
GH,2,TD,0,GH,No,9/25/2024,5:00 PM,Morse-Stiles Crescent
JE,0,TC,0,Draw,Yes,9/25/2024,5:00 PM,Morse-Stiles Crescent
MY,0,BR,3,BR,Yes,9/25/2024,5:00 PM,Morse-Stiles Crescent
JE,0,TD,2,TD,Yes,9/30/2024,4:00 PM,Morse-Stiles Crescent
BR,2,TC,0,BR,No,9/30/2024,4:00 PM,Morse-Stiles Crescent
GH,2,BF,0,GH,No,9/30/2024,4:00 PM,Morse-Stiles Crescent
ES,2,SM,0,ES,No,9/30/2024,5:00 PM,Morse-Stiles Crescent
SY,2,MC,0,SY,No,9/30/2024,5:00 PM,Morse-Stiles Crescent
PC,2,BK,1,PC,No,9/30/2024,5:00 PM,Morse-Stiles Crescent
DC,3,Bye,0,DC,No,10/21/2024,4:00 PM,Morse-Stiles Crescent
BR,3,Bye,0,BR,No,10/21/2024,4:00 PM,Morse-Stiles Crescent
TD,0,MY,2,MY,Yes,10/21/2024,4:00 PM,Morse-Stiles Crescent
TC,1,BF,2,BF,No,10/21/2024,4:00 PM,Morse-Stiles Crescent
JE,1,GH,2,GH,No,10/21/2024,4:00 PM,Morse-Stiles Crescent
PC,2,MC,1,PC,No,10/21/2024,5:15 PM,Morse-Stiles Crescent
ES,2,BK,0,ES,No,10/21/2024,5:15 PM,Morse-Stiles Crescent
SM,2,SY,1,SM,No,10/21/2024,5:15 PM,Morse-Stiles Crescent
DC,2,SM,0,DC,No,10/23/2024,4:00 PM,Morse-Stiles Crescent
ES,1,PC,2,PC,No,10/23/2024,4:00 PM,Morse-Stiles Crescent
GH,2,MY,0,GH,No,10/23/2024,5:15 PM,Morse-Stiles Crescent
BR,2,BF,1,BR,No,10/23/2024,5:15 PM,Morse-Stiles Crescent
PC,1,DC,2,DC,No,10/28/2024,4:00 PM,Morse-Stiles Crescent
GH,2,BR,1,GH,No,10/28/2024,5:00 PM,Morse-Stiles Crescent
GH,2,DC,0,GH,No,10/30/2024,4:00 PM,Morse-Stiles Crescent
