Home_Team,Home_Team_Score,Away_Team,Away_Team_Score,Winner,Forfeit?,Date,Time,Location
DC,2,TC,4,TC,No,9/9/2024,8:00 PM,Room K
ES,4,SM,2,ES,No,9/9/2024,9:00 PM,Room K
MC,4,BR,2,MC,No,9/9/2024,10:00 PM,Room K
PC,0,TD,2,TD,Yes,9/10/2024,8:00 PM,Room K
SY,4,BK,0,SY,No,9/10/2024,10:00 PM,Room K
GH,5,MC,1,GH,No,9/11/2024,8:00 PM,Room K
TC,5,SM,1,TC,No,9/11/2024,9:00 PM,Room K
ES,3,DC,3,Draw,No,9/11/2024,10:00 PM,Room K
SY,1,JE,0,SY,Yes,9/12/2024,8:00 PM,Room K
PC,1,MY,3,MY,No,9/12/2024,9:00 PM,Room K
TD,3,BF,4,BF,No,9/12/2024,10:00 PM,Room K
TD,6,BK,0,TD,No,9/16/2024,8:00 PM,Room K
JE,1,MY,5,MY,No,9/16/2024,9:00 PM,Room K
BF,6,PC,0,BF,No,9/16/2024,10:00 PM,Room K
GH,6,SM,0,GH,No,9/17/2024,9:00 PM,Room K
BR,2,DC,2,Draw,Yes,9/17/2024,8:00 PM,Room K
PC,0,SY,6,SY,No,9/18/2024,8:00 PM,Room K
MY,5,BK,1,MY,Yes,9/18/2024,10:00 PM,Room K
TC,3,MC,1,TC,No,9/19/2024,8:00 PM,Room K
GH,0,DC,6,DC,Yes,9/19/2024,9:00 PM,Room K
SM,0,BR,3,BR,Yes,9/19/2024,10:00 PM,Room K
TC,2,ES,3,ES,No,9/17/2024,10:00 PM,Room K
TD,6,JE,0,TD,No,9/18/2024,9:00 PM,Room K
ES,4,GH,2,ES,No,9/23/2024,8:00 PM,Room K
TC,6,BR,0,TC,No,9/23/2024,9:00 PM,Room K
MC,4,DC,2,MC,No,9/23/2024,10:00 PM,Room K
BF,6,JE,0,BF,Yes,9/24/2024,8:00 PM,Room K
BK,2,PC,4,PC,No,9/24/2024,9:00 PM,Room K
SY,5,TD,1,SY,No,9/24/2024,10:00 PM,Room K
MC,5,SM,1,MC,No,9/25/2024,8:00 PM,Room K
ES,3,BR,0,ES,Yes,9/25/2024,9:00 PM,Room K
TC,4,GH,2,TC,No,9/25/2024,10:00 PM,Room K
SY,6,MY,0,SY,Yes,9/26/2024,8:00 PM,Room K
BF,6,BK,0,BF,No,9/26/2024,9:00 PM,Room K
PC,5,JE,1,PC,No,9/26/2024,10:00 PM,Room K
MY,1,TD,4,TD,Yes,9/30/2024,8:00 PM,Room K
BK,6,JE,0,BK,Yes,9/30/2024,10:00 PM,Room K
BF,4,SY,3,BF,No,9/30/2024,9:00 PM,Room K
DC,3,SM,0,DC,Yes,10/1/2024,8:00 PM,Room K
ES,4,MC,2,ES,No,10/1/2024,9:00 PM,Room K
GH,4,BR,2,GH,No,10/1/2024,10:00 PM,Room K
ES,3,Bye,0,ES,No,10/21/2024,8:00 PM,Room K
BF,3,Bye,0,BF,No,10/21/2024,8:00 PM,Room K
MY,6,PC,0,MY,No,10/21/2024,8:00 PM,Room K
BK,0,TD,6,TD,Yes,10/21/2024,9:00 PM,Room K
GH,6,MC,0,GH,No,10/22/2024,8:00 PM,Room K
DC,5,BR,1,DC,No,10/22/2024,9:00 PM,Room K
SY,4,JE,2,SY,No,10/21/2024,10:00 PM,Room K
TC,4,SM,2,TC,No,10/22/2024,10:00 PM,Room K
BF,4,MY,2,BF,No,10/23/2024,8:00 PM,Room K
TD,6,SY,0,TD,No,10/23/2024,9:00 PM,Room K
GH,5,ES,1,GH,No,10/24/2024,8:00 PM,Room K
TC,5,DC,1,TC,No,10/24/2024,9:00 PM,Room K
TC,4,GH,2,TC,No,10/28/2024,8:00 PM,Room K
BF,4,TD,3,BF,No,10/28/2024,9:00 PM,Room K
BF,4,TC,0,BF,No,10/29/2024,9:00 PM,Room K
MY,0,BF,2,BF,Yes,9/10/2024,9:00 PM,Room K
