Date,Time,Home College,Away College,Sport,Location,Room
9/10/2025,8:00 PM,GH,PC,Table Tennis,PWG,Room K
9/10/2025,9:00 PM,ES,BF,Table Tennis,PWG,Room K
9/10/2025,10:00 PM,TD,TC,Table Tennis,PWG,Room K
9/11/2025,8:00 PM,DC,SM,Table Tennis,PWG,Room K
9/11/2025,9:00 PM,BK,JE,Table Tennis,PWG,Room K
9/11/2025,10:00 PM,MY,BR,Table Tennis,PWG,Room K
9/15/2025,8:00 PM,MY,SY,Table Tennis,PWG,Room K
9/15/2025,9:00 PM,DC,BK,Table Tennis,PWG,Room K
9/15/2025,10:00 PM,SM,JE,Table Tennis,PWG,Room K
9/16/2025,8:00 PM,TD,MC,Table Tennis,PWG,Room K
9/16/2025,9:00 PM,GH,ES,Table Tennis,PWG,Room K
9/16/2025,10:00 PM,PC,BF,Table Tennis,PWG,Room K
9/17/2025,8:00 PM,SM,BR,Table Tennis,PWG,Room K
9/17/2025,9:00 PM,BK,SY,Table Tennis,PWG,Room K
9/17/2025,10:00 PM,DC,JE,Table Tennis,PWG,Room K
9/18/2025,8:00 PM,PC,TC,Table Tennis,PWG,Room K
9/18/2025,9:00 PM,ES,MC,Table Tennis,PWG,Room K
9/18/2025,10:00 PM,GH,BF,Table Tennis,PWG,Room K
9/24/2025,8:00 PM,PC,ES,Table Tennis,PWG,Room K
9/24/2025,9:00 PM,BF,TD,Table Tennis,PWG,Room K
9/24/2025,10:00 PM,TC,MC,Table Tennis,PWG,Room K
9/25/2025,8:00 PM,DC,MY,Table Tennis,PWG,Room K
9/25/2025,9:00 PM,SM,SY,Table Tennis,PWG,Room K
9/25/2025,10:00 PM,BK,BR,Table Tennis,PWG,Room K
9/29/2025,8:00 PM,JE,SY,Table Tennis,PWG,Room K
9/29/2025,9:00 PM,DC,BR,Table Tennis,PWG,Room K
9/29/2025,10:00 PM,SM,MY,Table Tennis,PWG,Room K
9/30/2025,8:00 PM,ES,TD,Table Tennis,PWG,Room K
9/30/2025,9:00 PM,BF,TC,Table Tennis,PWG,Room K
9/30/2025,10:00 PM,GH,MC,Table Tennis,PWG,Room K
10/20/2025,8:00 PM,GH,TD,Table Tennis,PWG,Room K
10/20/2025,9:00 PM,PC,MC,Table Tennis,PWG,Room K
10/20/2025,10:00 PM,ES,TC,Table Tennis,PWG,Room K
10/21/2025,8:00 PM,SM,BK,Table Tennis,PWG,Room K
10/21/2025,9:00 PM,JE,MY,Table Tennis,PWG,Room K
10/21/2025,10:00 PM,BR,SY,Table Tennis,PWG,Room K
10/22/2025,8:00 PM,BF,MC,Table Tennis,PWG,Room K
10/22/2025,9:00 PM,GH,TC,Table Tennis,PWG,Room K
10/22/2025,10:00 PM,PC,TD,Table Tennis,PWG,Room K
10/23/2025,8:00 PM,BK,MY,Table Tennis,PWG,Room K
10/23/2025,9:00 PM,JE,BR,Table Tennis,PWG,Room K
10/23/2025,10:00 PM,DC,SY,Table Tennis,PWG,Room K
