Date,Time,Home College,Away College,Sport,Location,Room
9/8/2026,8:00 PM,SY,ES,Table Tennis,PWG,Room K
9/9/2026,8:00 PM,BK,PC,Table Tennis,PWG,Room K
9/10/2026,8:00 PM,SM,MY,Table Tennis,PWG,Room K
9/8/2026,9:00 PM,GH,MY,Table Tennis,PWG,Room K
9/9/2026,9:00 PM,TD,TC,Table Tennis,PWG,Room K
9/10/2026,9:00 PM,SY,BR,Table Tennis,PWG,Room K
9/8/2026,10:00 PM,DC,BR,Table Tennis,PWG,Room K
9/9/2026,10:00 PM,MC,JE,Table Tennis,PWG,Room K
9/10/2026,10:00 PM,GH,ES,Table Tennis,PWG,Room K
9/14/2026,8:00 PM,DC,ES,Table Tennis,PWG,Room K
9/16/2026,8:00 PM,GH,DC,Table Tennis,PWG,Room K
9/17/2026,8:00 PM,MC,PC,Table Tennis,PWG,Room K
9/14/2026,9:00 PM,SM,BR,Table Tennis,PWG,Room K
9/16/2026,9:00 PM,SM,ES,Table Tennis,PWG,Room K
9/17/2026,9:00 PM,BF,JE,Table Tennis,PWG,Room K
9/14/2026,10:00 PM,SY,MY,Table Tennis,PWG,Room K
9/16/2026,10:00 PM,BR,MY,Table Tennis,PWG,Room K
9/17/2026,10:00 PM,BK,TC,Table Tennis,PWG,Room K
9/22/2026,8:00 PM,SY,GH,Table Tennis,PWG,Room K
9/23/2026,8:00 PM,TD,MC,Table Tennis,PWG,Room K
9/24/2026,8:00 PM,BK,TD,Table Tennis,PWG,Room K
9/22/2026,9:00 PM,DC,SM,Table Tennis,PWG,Room K
9/23/2026,9:00 PM,BF,PC,Table Tennis,PWG,Room K
9/24/2026,9:00 PM,MC,BF,Table Tennis,PWG,Room K
9/22/2026,10:00 PM,ES,BR,Table Tennis,PWG,Room K
9/23/2026,10:00 PM,JE,TC,Table Tennis,PWG,Room K
9/24/2026,10:00 PM,PC,JE,Table Tennis,PWG,Room K
9/28/2026,8:00 PM,PC,TC,Table Tennis,PWG,Room K
9/29/2026,8:00 PM,ES,MY,Table Tennis,PWG,Room K
9/30/2026,8:00 PM,TD,JE,Table Tennis,PWG,Room K
10/1/2026,8:00 PM,GH,BR,Table Tennis,PWG,Room K
9/28/2026,9:00 PM,BK,MC,Table Tennis,PWG,Room K
9/29/2026,9:00 PM,SY,DC,Table Tennis,PWG,Room K
9/30/2026,9:00 PM,MC,TC,Table Tennis,PWG,Room K
10/1/2026,9:00 PM,DC,MY,Table Tennis,PWG,Room K
9/28/2026,10:00 PM,TD,BF,Table Tennis,PWG,Room K
9/29/2026,10:00 PM,GH,SM,Table Tennis,PWG,Room K
9/30/2026,10:00 PM,BK,BF,Table Tennis,PWG,Room K
10/1/2026,10:00 PM,SY,SM,Table Tennis,PWG,Room K
10/5/2026,8:00 PM,BF,TC,Table Tennis,PWG,Room K
10/5/2026,9:00 PM,BK,JE,Table Tennis,PWG,Room K
10/5/2026,10:00 PM,TD,PC,Table Tennis,PWG,Room K
