Date,Time,Home College,Away College,Sport,Location
1/23,7:00 PM,GH,DC,Broomball,Ingalls Rink
1/23,7:00 PM,BK,ES,Broomball,Ingalls Rink
1/23,8:00 PM,BF,JE,Broomball,Ingalls Rink
1/23,8:00 PM,MY,BR,Broomball,Ingalls Rink
1/23,9:00 PM,TD,TC,Broomball,Ingalls Rink
1/23,9:00 PM,MC,PC,Broomball,Ingalls Rink
1/26,5:00 PM,BF,SM,Broomball,Ingalls Rink
1/26,5:00 PM,GH,BK,Broomball,Ingalls Rink
1/26,6:00 PM,DC,ES,Broomball,Ingalls Rink
1/26,6:00 PM,MC,SY,Broomball,Ingalls Rink
1/26,7:00 PM,MY,TD,Broomball,Ingalls Rink
1/26,7:00 PM,BR,TC,Broomball,Ingalls Rink
1/30,7:00 PM,BR,PC,Broomball,Ingalls Rink
1/30,7:00 PM,TD,SY,Broomball,Ingalls Rink
1/30,8:00 PM,MY,TC,Broomball,Ingalls Rink
1/30,8:00 PM,DC,JE,Broomball,Ingalls Rink
1/30,9:00 PM,BK,SM,Broomball,Ingalls Rink
1/30,9:00 PM,GH,ES,Broomball,Ingalls Rink
2/2,5:00 PM,MY,MC,Broomball,Ingalls Rink
2/2,5:00 PM,BR,SY,Broomball,Ingalls Rink
2/2,6:00 PM,TD,PC,Broomball,Ingalls Rink
2/2,6:00 PM,GH,BF,Broomball,Ingalls Rink
2/2,7:00 PM,DC,SM,Broomball,Ingalls Rink
2/2,7:00 PM,BK,JE,Broomball,Ingalls Rink
2/13,7:00 PM,ES,SM,Broomball,Ingalls Rink
2/13,7:00 PM,GH,JE,Broomball,Ingalls Rink
2/13,8:00 PM,DC,BF,Broomball,Ingalls Rink
2/13,8:00 PM,TC,SY,Broomball,Ingalls Rink
2/13,9:00 PM,MY,PC,Broomball,Ingalls Rink
2/13,9:00 PM,BR,MC,Broomball,Ingalls Rink
2/16,5:00 PM,TD,MC,Broomball,Ingalls Rink
2/16,5:00 PM,TC,PC,Broomball,Ingalls Rink
2/16,6:00 PM,MY,SY,Broomball,Ingalls Rink
2/16,6:00 PM,BK,BF,Broomball,Ingalls Rink
2/16,7:00 PM,ES,JE,Broomball,Ingalls Rink
2/16,7:00 PM,GH,SM,Broomball,Ingalls Rink
2/20,7:00 PM,BR,TD,Broomball,Ingalls Rink
2/20,7:00 PM,TC,MC,Broomball,Ingalls Rink
2/20,8:00 PM,PC,SY,Broomball,Ingalls Rink
2/20,8:00 PM,DC,BK,Broomball,Ingalls Rink
2/20,9:00 PM,ES,BF,Broomball,Ingalls Rink
2/20,9:00 PM,JE,SM,Broomball,Ingalls Rink
