Date,Time,Home College,Away College,Location_Extra,Sport,Location,Type
3/24,4:00 PM,BF,MC,,Kanjam,Morse-Stiles Crescent,Regular
3/24,4:00 PM,DC,TD,,Kanjam,Morse-Stiles Crescent,Regular
3/24,4:00 PM,JE,SY,,Kanjam,Morse-Stiles Crescent,Regular
3/24,5:00 PM,MY,BK,,Kanjam,Morse-Stiles Crescent,Regular
3/24,5:00 PM,TC,BR,,Kanjam,Morse-Stiles Crescent,Regular
3/24,5:00 PM,SM,GH,,Kanjam,Morse-Stiles Crescent,Regular
3/26,4:00 PM,SM,ES,,Kanjam,Morse-Stiles Crescent,Regular
3/26,4:00 PM,MY,TC,,Kanjam,Morse-Stiles Crescent,Regular
3/26,4:00 PM,BK,BR,,Kanjam,Morse-Stiles Crescent,Regular
3/26,5:00 PM,JE,PC,,Kanjam,Morse-Stiles Crescent,Regular
3/26,5:00 PM,BF,DC,,Kanjam,Morse-Stiles Crescent,Regular
3/26,5:00 PM,MC,TD,,Kanjam,Morse-Stiles Crescent,Regular
3/31,4:00 PM,BK,GH,,Kanjam,Morse-Stiles Crescent,Regular
3/31,4:00 PM,TC,ES,,Kanjam,Morse-Stiles Crescent,Regular
3/31,4:00 PM,MY,BR,,Kanjam,Morse-Stiles Crescent,Regular
3/31,5:00 PM,MC,SY,,Kanjam,Morse-Stiles Crescent,Regular
3/31,5:00 PM,DC,PC,,Kanjam,Morse-Stiles Crescent,Regular
3/31,5:00 PM,BF,TD,,Kanjam,Morse-Stiles Crescent,Regular
4/2,4:00 PM,MC,DC,,Kanjam,Morse-Stiles Crescent,Regular
4/2,4:00 PM,TD,JE,,Kanjam,Morse-Stiles Crescent,Regular
4/2,4:00 PM,SY,PC,,Kanjam,Morse-Stiles Crescent,Regular
4/2,5:00 PM,MY,SM,,Kanjam,Morse-Stiles Crescent,Regular
4/2,5:00 PM,BK,ES,,Kanjam,Morse-Stiles Crescent,Regular
4/2,5:00 PM,TC,GH,,Kanjam,Morse-Stiles Crescent,Regular
4/7,4:00 PM,BF,JE,,Kanjam,Morse-Stiles Crescent,Regular
4/7,4:00 PM,MC,PC,,Kanjam,Morse-Stiles Crescent,Regular
4/7,4:00 PM,DC,SY,,Kanjam,Morse-Stiles Crescent,Regular
4/7,5:00 PM,BR,ES,,Kanjam,Morse-Stiles Crescent,Regular
4/7,5:00 PM,MY,GH,,Kanjam,Morse-Stiles Crescent,Regular
4/7,5:00 PM,BK,SM,,Kanjam,Morse-Stiles Crescent,Regular
4/9,4:00 PM,TC,SM,,Kanjam,Morse-Stiles Crescent,Regular
4/9,4:00 PM,BR,GH,,Kanjam,Morse-Stiles Crescent,Regular
4/9,4:00 PM,MY,ES,,Kanjam,Morse-Stiles Crescent,Regular
4/9,5:00 PM,TD,PC,,Kanjam,Morse-Stiles Crescent,Regular
4/9,5:00 PM,BF,SY,,Kanjam,Morse-Stiles Crescent,Regular
4/9,5:00 PM,MC,JE,,Kanjam,Morse-Stiles Crescent,Regular
4/14,4:00 PM,DC,JE,,Kanjam,Morse-Stiles Crescent,Regular
4/14,4:00 PM,TD,SY,,Kanjam,Morse-Stiles Crescent,Regular
4/14,4:00 PM,BF,PC,,Kanjam,Morse-Stiles Crescent,Regular
4/14,5:00 PM,BK,TC,,Kanjam,Morse-Stiles Crescent,Regular
4/14,5:00 PM,BR,SM,,Kanjam,Morse-Stiles Crescent,Regular
4/14,5:00 PM,GH,ES,,Kanjam,Morse-Stiles Crescent,Regular
