Date,Time,Home College,Away College,Sport,Court,Location
1/22,8:00 PM,GH,BR,MHoops,Court 1,Lanman Center
1/22,8:00 PM,TC,BK,MHoops,Court 2,Lanman Center
1/22,9:00 PM,PC,MC,MHoops,Court 1,Lanman Center
1/23,8:00 PM,JE,SY,MHoops,,Lanman Center
1/23,8:00 PM,TD,DC,MHoops,,Lanman Center
1/23,8:00 PM,SM,MY,MHoops,,Lanman Center
1/28,9:00 PM,PC,ES,MHoops,Court 1,Lanman Center
1/28,9:00 PM,BK,BR,MHoops,Court 2,Lanman Center
1/28,9:00 PM,TC,MC,MHoops,Court 3,Lanman Center
1/28,10:00 PM,SM,BF,MHoops,Court 1,Lanman Center
1/28,10:00 PM,JE,TD,MHoops,Court 2,Lanman Center
1/28,10:00 PM,SY,DC,MHoops,Court 3,Lanman Center
1/30,9:00 PM,SY,MY,MHoops,,Lanman Center
1/30,9:00 PM,TD,BF,MHoops,,Lanman Center
1/30,9:00 PM,JE,DC,MHoops,,Lanman Center
1/30,10:00 PM,TC,GH,MHoops,,Lanman Center
1/30,10:00 PM,PC,BR,MHoops,,Lanman Center
1/30,10:00 PM,BK,ES,MHoops,,Lanman Center
2/4,8:00 PM,MC,BR,MHoops,Court 1,Lanman Center
2/4,8:00 PM,TC,ES,MHoops,Court 2,Lanman Center
2/4,8:00 PM,PC,GH,MHoops,Court 3,Lanman Center
2/5,9:00 PM,JE,SM,MHoops,Court 2,Lanman Center
2/5,10:00 PM,SY,BF,MHoops,Court 1,Lanman Center
2/10,8:00 PM,SY,TD,MHoops,Court 1,Lanman Center
2/10,8:00 PM,DC,SM,MHoops,Court 2,Lanman Center
2/10,9:00 PM,MY,BF,MHoops,Court 1,Lanman Center
2/10,9:00 PM,BK,GH,MHoops,Court 2,Lanman Center
2/10,10:00 PM,MC,ES,MHoops,Court 1,Lanman Center
2/10,10:00 PM,TC,BR,MHoops,Court 2,Lanman Center
2/12,8:00 PM,DC,BF,MHoops,Court 1,Lanman Center
2/12,8:00 PM,JE,BF,MHoops,Court 2,Lanman Center
2/12,9:00 PM,SY,TD,MHoops,Court 1,Lanman Center
2/13,8:00 PM,PC,BK,MHoops,,Lanman Center
2/13,8:00 PM,MC,GH,MHoops,,Lanman Center
2/13,8:00 PM,ES,BR,MHoops,,Lanman Center
2/18,8:00 PM,TC,PC,MHoops,,Lanman Center
2/18,8:00 PM,BK,MC,MHoops,,Lanman Center
2/18,8:00 PM,GH,ES,MHoops,,Lanman Center
2/18,9:00 PM,TD,SM,MHoops,,Lanman Center
2/18,9:00 PM,DC,MY,MHoops,,Lanman Center
2/18,9:00 PM,JE,BF,MHoops,,Lanman Center
