Date,Time,Home College,Away College,Location_Extra,Sport,Location,Type
3/24,8:00 PM,SY,PC,,Indoor Soccer,Lanman Center,Regular
3/24,8:00 PM,SM,ES,,Indoor Soccer,Lanman Center,Regular
3/24,9:00 PM,TC,DC,,Indoor Soccer,Lanman Center,Regular
3/25,8:00 PM,GH,BK,,Indoor Soccer,Lanman Center,Regular
3/25,8:00 PM,BF,MY,,Indoor Soccer,Lanman Center,Regular
3/25,8:00 PM,TD,JE,,Indoor Soccer,Lanman Center,Regular
3/26,8:00 PM,TC,MC,,Indoor Soccer,Lanman Center,Regular
3/26,8:00 PM,SY,SM,,Indoor Soccer,Lanman Center,Regular
3/26,9:00 PM,PC,ES,,Indoor Soccer,Lanman Center,Regular
3/27,8:00 PM,TD,BR,,Indoor Soccer,Lanman Center,Regular
3/27,8:00 PM,GH,BF,,Indoor Soccer,Lanman Center,Regular
3/27,8:00 PM,BK,MY,,Indoor Soccer,Lanman Center,Regular
3/31,8:00 PM,BK,JE,,Indoor Soccer,Lanman Center,Regular
3/31,8:00 PM,BF,BR,,Indoor Soccer,Lanman Center,Regular
3/31,9:00 PM,GH,MY,,Indoor Soccer,Lanman Center,Regular
4/1,8:00 PM,PC,DC,,Indoor Soccer,Lanman Center,Regular
4/1,8:00 PM,SM,MC,,Indoor Soccer,Lanman Center,Regular
4/1,8:00 PM,SY,ES,,Indoor Soccer,Lanman Center,Regular
4/2,8:00 PM,GH,TD,,Indoor Soccer,Lanman Center,Regular
4/2,8:00 PM,BK,BR,,Indoor Soccer,Lanman Center,Regular
4/2,9:00 PM,BF,JE,,Indoor Soccer,Lanman Center,Regular
4/3,8:00 PM,SY,TC,,Indoor Soccer,Lanman Center,Regular
4/3,8:00 PM,PC,MC,,Indoor Soccer,Lanman Center,Regular
4/3,8:00 PM,SM,DC,,Indoor Soccer,Lanman Center,Regular
4/7,8:00 PM,ES,MC,,Indoor Soccer,Lanman Center,Regular
4/7,8:00 PM,SY,DC,,Indoor Soccer,Lanman Center,Regular
4/7,9:00 PM,PC,TC,,Indoor Soccer,Lanman Center,Regular
4/8,8:00 PM,MY,BR,,Indoor Soccer,Lanman Center,Regular
4/8,8:00 PM,GH,JE,,Indoor Soccer,Lanman Center,Regular
4/8,8:00 PM,BK,TD,,Indoor Soccer,Lanman Center,Regular
4/9,8:00 PM,SM,TC,,Indoor Soccer,Lanman Center,Regular
4/9,8:00 PM,ES,DC,,Indoor Soccer,Lanman Center,Regular
4/9,9:00 PM,SY,MC,,Indoor Soccer,Lanman Center,Regular
4/10,8:00 PM,BF,TD,,Indoor Soccer,Lanman Center,Regular
4/10,8:00 PM,MY,JE,,Indoor Soccer,Lanman Center,Regular
4/10,8:00 PM,GH,BR,,Indoor Soccer,Lanman Center,Regular
4/14,8:00 PM,BK,BF,,Indoor Soccer,Lanman Center,Regular
4/14,8:00 PM,MY,TD,,Indoor Soccer,Lanman Center,Regular
4/14,9:00 PM,JE,BR,,Indoor Soccer,Lanman Center,Regular
4/15,8:00 PM,PC,SM,,Indoor Soccer,Lanman Center,Regular
4/15,8:00 PM,ES,TC,,Indoor Soccer,Lanman Center,Regular
4/15,8:00 PM,DC,MC,,Indoor Soccer,Lanman Center,Regular
4/16 Quarterfinals,8:00 PM,TBD,TBD,,Indoor Soccer,Lanman Center,Quarterfinals
4/16 Quarterfinals,8:00 PM,TBD,TBD,,Indoor Soccer,Lanman Center,Quarterfinals
4/16 Quarterfinals,9:00 PM,TBD,TBD,,Indoor Soccer,Lanman Center,Quarterfinals
4/16 Quarterfinals,9:00 PM,TBD,TBD,,Indoor Soccer,Lanman Center,Quarterfinals
4/17 Semifinals,8:00 PM,TBD,TBD,,Indoor Soccer,Lanman Center,Semifinals
4/17 Semifinals,8:00 PM,TBD,TBD,,Indoor Soccer,Lanman Center,Semifinals
